k,frequency
3,1
4,8
5,25
6,44
7,105
8,193
9,309
10,513
11,627
12,860
13,987
14,1047
15,1043
16,910
17,851
18,730
19,522
20,421
21,295
22,200
23,126
24,67
25,53
26,36
27,14
28,7
29,4
30,1
34,1
